Date,Close
4/5/17,67.89
4/6/17,68.52
4/7/17,68.71
4/10/17,69.28
4/11/17,69.06
4/12/17,69.25
4/13/17,70.63
4/17/17,71.7
4/18/17,71.58
4/19/17,72.64
4/20/17,76.06
4/21/17,76.38
4/24/17,75.83
4/25/17,76.65
4/26/17,74.12
4/27/17,73.09
4/28/17,75.95
5/1/17,77.26
5/2/17,82.98
5/3/17,81.72
5/4/17,81.35
5/5/17,85.53
5/8/17,86.78
5/9/17,89.15
5/10/17,93.06
5/11/17,92.02
5/12/17,93.58
5/15/17,94.24
5/16/17,94.93
5/17/17,89.84
5/18/17,92.11
5/19/17,88.87
5/22/17,89.6
5/23/17,90.02
5/24/17,90.81
5/25/17,90.22
5/26/17,90.74
5/30/17,90.57
5/31/17,91.86
6/1/17,93.44
6/2/17,97.53
6/5/17,97.48
6/6/17,98.61
6/7/17,96.99
6/8/17,98.84
6/9/17,91.45
6/12/17,88.89
6/13/17,86.93
6/14/17,85.36
6/15/17,85.48
6/16/17,86.93
6/19/17,90.56
6/20/17,88.94
6/21/17,91.25
6/22/17,91.37
6/23/17,94.48
6/26/17,92.04
6/27/17,87.04
6/28/17,89.52
6/29/17,86.4
6/30/17,86.9
7/3/17,86
7/5/17,88.11
7/6/17,86.21
7/7/17,88.99
7/10/17,90.99
7/11/17,91.29
7/12/17,94.68
7/13/17,93.02
7/14/17,92.41
7/17/17,90.49
7/18/17,93.18
7/19/17,91.9
7/20/17,90.87
7/21/17,89.42
7/24/17,93.61
7/25/17,92.16
7/26/17,93.92
7/27/17,90.43
7/28/17,92.98
7/31/17,92.37
8/1/17,104.08
8/2/17,98.35
8/3/17,97.16
8/4/17,96.28
8/7/17,97.79
8/8/17,96.51
8/9/17,95.19
8/10/17,88.4
8/11/17,91.71
8/14/17,94.06
8/15/17,93.15
8/16/17,94.61
8/17/17,93.5
8/18/17,94.58
8/21/17,96.27
8/22/17,98.61
8/23/17,102.46
8/24/17,106.53
8/25/17,103.74
8/28/17,103.79
8/29/17,104.37
8/30/17,108.44
8/31/17,110.92
9/1/17,110.86
9/5/17,110.67
9/6/17,110.22
9/7/17,113.46
9/8/17,113.61
9/11/17,117.99
9/12/17,120.5
9/13/17,119.21
9/14/17,120.2
9/15/17,120.26
9/18/17,122.42
9/19/17,122.94
9/20/17,119.29
9/21/17,120.15
9/22/17,120.27
9/25/17,114.47
9/26/17,113.38
9/27/17,117.4
9/28/17,116.45
9/29/17,116.49
10/2/17,119
10/3/17,116.81
10/4/17,103.3
10/5/17,100.43
10/6/17,97.92
10/9/17,97.38
10/10/17,92.57
10/11/17,95.02
10/12/17,94.36
10/13/17,94.22
10/16/17,96.98
10/17/17,96.21
10/18/17,98.93
10/19/17,98.25
10/20/17,102.1
10/23/17,102.91
10/24/17,106.41
10/25/17,102.99
10/26/17,104.11
10/27/17,107.27
10/30/17,109.36
10/31/17,99.49
11/1/17,96.2
11/2/17,99.89
11/3/17,98.71
11/6/17,99.84
11/7/17,99.71
11/8/17,99.4
11/9/17,97.03
11/10/17,100.01
11/13/17,98.77
11/14/17,98.97
11/15/17,98.04
11/16/17,103.89
11/17/17,104.89
11/20/17,108.56
11/21/17,110.17
11/22/17,110.41
11/24/17,111.81
11/27/17,113.36
11/28/17,112.09
11/29/17,103.67
11/30/17,103.82
12/1/17,103.27
12/4/17,96.62
12/5/17,95.28
12/6/17,95.77
12/7/17,99.79
12/8/17,100.77
12/11/17,104.11
12/12/17,101.4
12/13/17,103.21
12/14/17,103.23
12/15/17,105.22
12/18/17,107.62
12/19/17,105.73
12/20/17,105.24
12/21/17,104.8
12/22/17,103.86
12/26/17,104.84
12/27/17,104.5
12/28/17,102.39
12/29/17,101
1/2/18,105.49
1/3/18,107.75
1/4/18,109.95
1/5/18,110.58
1/8/18,112.35
1/9/18,110.73
1/10/18,111
1/11/18,111.13
